epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,936.508,0.32094,0.52199,0.80731,0.62891,0.97609,0.71179,0.67916,0.36691,0.75486,0.77326,3.18444e-05,3.18444e-05,3.18444e-05
140,943.063,0.32042,0.51553,0.80606,0.63111,0.97569,0.72572,0.69011,0.37501,0.76918,0.77379,2.94882e-05,2.94882e-05,2.94882e-05
141,966.895,0.30533,0.46541,0.79297,0.63573,0.97055,0.72537,0.68768,0.3721,0.80299,0.77327,2.7132e-05,2.7132e-05,2.7132e-05
142,973.498,0.28881,0.45551,0.79233,0.64165,0.96859,0.72067,0.6851,0.35715,0.82143,0.77186,2.47758e-05,2.47758e-05,2.47758e-05
143,980.024,0.29328,0.45727,0.79421,0.6353,0.96083,0.73187,0.69417,0.38087,0.84308,0.77471,2.24196e-05,2.24196e-05,2.24196e-05
144,986.6,0.2908,0.44643,0.78571,0.62906,0.95991,0.72401,0.68638,0.38205,0.84255,0.77514,2.00634e-05,2.00634e-05,2.00634e-05
145,993.1,0.28997,0.45925,0.78799,0.62909,0.96114,0.72254,0.68914,0.35925,0.84653,0.77233,1.77072e-05,1.77072e-05,1.77072e-05
146,999.74,0.29188,0.43128,0.78504,0.62674,0.95816,0.72436,0.6898,0.38371,0.83664,0.77481,1.5351e-05,1.5351e-05,1.5351e-05
147,1006.42,0.28315,0.43597,0.79066,0.62969,0.96604,0.72349,0.68534,0.39534,0.84339,0.77601,1.29948e-05,1.29948e-05,1.29948e-05
148,1013.09,0.28294,0.42767,0.78717,0.63578,0.96563,0.72769,0.69333,0.3734,0.85229,0.77446,1.06386e-05,1.06386e-05,1.06386e-05
149,1019.71,0.28427,0.42965,0.7876,0.63741,0.96548,0.7233,0.6896,0.36999,0.86649,0.7737,8.2824e-06,8.2824e-06,8.2824e-06
150,1026.4,0.28804,0.42728,0.78958,0.63296,0.95316,0.72305,0.68632,0.37598,0.88428,0.77428,5.9262e-06,5.9262e-06,5.9262e-06
